region,age,population
Pennsylvania,85+ years,361573
Rhode Island,0-4 years,70965
Rhode Island,5-9 years,69517
Rhode Island,10-14 years,69776
Rhode Island,15-19 years,73979
Rhode Island,20-24 years,73749
Rhode Island,25-29 years,80748
Rhode Island,30-34 years,79002
Rhode Island,35-39 years,73427
Rhode Island,40-44 years,73273
Rhode Island,45-49 years,65705
Rhode Island,50-54 years,73285
Rhode Island,55-59 years,78902
Rhode Island,60-64 years ,73930
Rhode Island,65-69 years,61243
Rhode Island,70-74 years,49576
Rhode Island,75-79 years,33620
Rhode Island,80-84 years,22132
Rhode Island,85+ years,31401
South Carolina,0-4 years,298494
South Carolina,5-9 years,296053
South Carolina,10-14 years,302297
South Carolina,15-19 years,318572
South Carolina,20-24 years,299223
South Carolina,25-29 years,298757
South Carolina,30-34 years,292078
South Carolina,35-39 years,285802
South Carolina,40-44 years,289761
South Carolina,45-49 years,293831
South Carolina,50-54 years,309755
South Carolina,55-59 years,339621
South Carolina,60-64 years ,332083
South Carolina,65-69 years,289980
South Carolina,70-74 years,232716
South Carolina,75-79 years,151922
South Carolina,80-84 years,92744
South Carolina,85+ years,98888
South Dakota,0-4 years,53127
South Dakota,5-9 years,55629
South Dakota,10-14 years,56511
South Dakota,15-19 years,52006
South Dakota,20-24 years,44864
South Dakota,25-29 years,43713
South Dakota,30-34 years,47495
South Dakota,35-39 years,52326
South Dakota,40-44 years,49991
South Dakota,45-49 years,44641
South Dakota,50-54 years,44867
South Dakota,55-59 years,53770
South Dakota,60-64 years ,54601
South Dakota,65-69 years,47411
South Dakota,70-74 years,35785
South Dakota,75-79 years,24165
South Dakota,80-84 years,17278
South Dakota,85+ years,23759
Tennessee,0-4 years,451608
Tennessee,5-9 years,444381
Tennessee,10-14 years,442038
Tennessee,15-19 years,451432
Tennessee,20-24 years,436432
Tennessee,25-29 years,439819
Tennessee,30-34 years,427999
Tennessee,35-39 years,420785
Tennessee,40-44 years,417381
Tennessee,45-49 years,424523
Tennessee,50-54 years,426779
Tennessee,55-59 years,449902
Tennessee,60-64 years ,426528
Tennessee,65-69 years,365368
Tennessee,70-74 years,298718
Tennessee,75-79 years,198253
Tennessee,80-84 years,125950
Tennessee,85+ years,132774
Texas,0-4 years,2291864
Texas,5-9 years,2255591
Texas,10-14 years,2177197
Texas,15-19 years,2038687
Texas,20-24 years,1863136
Texas,25-29 years,1968527
Texas,30-34 years,1997042
Texas,35-39 years,1981016
Texas,40-44 years,1785305
Texas,45-49 years,1717413
Texas,50-54 years,1625431
Texas,55-59 years,1644897
Texas,60-64 years ,1532976
Texas,65-69 years,1260776
Texas,70-74 years,983361
Texas,75-79 years,648977
Texas,80-84 years,410195
Texas,85+ years,452505
Utah,0-4 years,265606
Utah,5-9 years,246613
Utah,10-14 years,248001
Utah,15-19 years,272457
Utah,20-24 years,245169
Utah,25-29 years,204020
Utah,30-34 years,186879
Utah,35-39 years,185284
Utah,40-44 years,199400
Utah,45-49 years,174435
Utah,50-54 years,146419
Utah,55-59 years,140924
Utah,60-64 years ,133792
Utah,65-69 years,114044
Utah,70-74 years,87463
Utah,75-79 years,59252
Utah,80-84 years,38647
Utah,85+ years,41689
Vermont,0-4 years,36982
Vermont,5-9 years,38396
Vermont,10-14 years,38073
Vermont,15-19 years,37934
Vermont,20-24 years,37949
Vermont,25-29 years,43403
Vermont,30-34 years,48692
Vermont,35-39 years,48849
Vermont,40-44 years,43538
Vermont,45-49 years,37999
Vermont,50-54 years,42456
Vermont,55-59 years,49399
Vermont,60-64 years ,50567
Vermont,65-69 years,45456
Vermont,70-74 years,36297
Vermont,75-79 years,23262
Vermont,80-84 years,14224
Vermont,85+ years,17210
Virginia,0-4 years,597362
Virginia,5-9 years,583001
Virginia,10-14 years,566881
Virginia,15-19 years,600174
Virginia,20-24 years,591467
Virginia,25-29 years,622116
Virginia,30-34 years,625488
Virginia,35-39 years,574460
Virginia,40-44 years,546395
Virginia,45-49 years,536874
Virginia,50-54 years,552777
Virginia,55-59 years,581875
Virginia,60-64 years ,533945
Virginia,65-69 years,450140
Virginia,70-74 years,373281
Virginia,75-79 years,251122
Virginia,80-84 years,157644
Virginia,85+ years,172393
Washington,0-4 years,496569
Washington,5-9 years,481303
Washington,10-14 years,448062
Washington,15-19 years,435352
Washington,20-24 years,470111
Washington,25-29 years,531588
Washington,30-34 years,559784
Washington,35-39 years,542334
Washington,40-44 years,471491
Washington,45-49 years,445856
Washington,50-54 years,457365
Washington,55-59 years,472023
Washington,60-64 years ,452099
Washington,65-69 years,388257
Washington,70-74 years,307341
Washington,75-79 years,199207
Washington,80-84 years,124440
Washington,85+ years,148954
West Virginia,0-4 years,89775
West Virginia,5-9 years,96802
West Virginia,10-14 years,105909
West Virginia,15-19 years,105621
West Virginia,20-24 years,92183
West Virginia,25-29 years,94446
West Virginia,30-34 years,100278
West Virginia,35-39 years,115665
West Virginia,40-44 years,124683
West Virginia,45-49 years,120972
West Virginia,50-54 years,120517
West Virginia,55-59 years,128201
West Virginia,60-64 years ,134036
West Virginia,65-69 years,122194
West Virginia,70-74 years,99943
West Virginia,75-79 years,63384
West Virginia,80-84 years,41925
West Virginia,85+ years,44578
Wisconsin,0-4 years,376666
Wisconsin,5-9 years,390530
Wisconsin,10-14 years,382986
Wisconsin,15-19 years,360782
Wisconsin,20-24 years,343003
Wisconsin,25-29 years,365725
Wisconsin,30-34 years,398291
Wisconsin,35-39 years,422695
Wisconsin,40-44 years,396050
Wisconsin,45-49 years,359558
Wisconsin,50-54 years,377752
Wisconsin,55-59 years,411084
Wisconsin,60-64 years ,394290
Wisconsin,65-69 years,332088
Wisconsin,70-74 years,258404
Wisconsin,75-79 years,172540
Wisconsin,80-84 years,116533
Wisconsin,85+ years,145977
Wyoming,0-4 years,28168
Wyoming,5-9 years,31815
Wyoming,10-14 years,33650
Wyoming,15-19 years,30002
Wyoming,20-24 years,26434
Wyoming,25-29 years,27867
Wyoming,30-34 years,31938
Wyoming,35-39 years,38622
Wyoming,40-44 years,33629
Wyoming,45-49 years,30434
Wyoming,50-54 years,30351
Wyoming,55-59 years,36765
Wyoming,60-64 years ,41618
Wyoming,65-69 years,37804
Wyoming,70-74 years,28585
Wyoming,75-79 years,18221
Wyoming,80-84 years,11694
Wyoming,85+ years,13351
